graph_name;graph_size;edge_percentage;elapsed_time;num_threads
graphs/graph_s16000_p25.grf;16000;24;2.259820;6
graphs/graph_s16000_p50.grf;16000;49;2.347310;6
graphs/graph_s16000_p75.grf;16000;74;2.293343;6
graphs/graph_s16500_p25.grf;16500;24;2.349343;6
graphs/graph_s16500_p50.grf;16500;49;2.478341;6
graphs/graph_s16500_p75.grf;16500;74;2.369002;6
graphs/graph_s17000_p25.grf;17000;24;2.512308;6
graphs/graph_s17000_p50.grf;17000;49;2.651160;6
graphs/graph_s2000_p25.grf;2000;24;0.055408;6
graphs/graph_s2000_p50.grf;2000;49;0.066751;6
graphs/graph_s2000_p75.grf;2000;74;0.061157;6
graphs/graph_s2500_p25.grf;2500;24;0.083889;6
graphs/graph_s2500_p50.grf;2500;49;0.081232;6
graphs/graph_s2500_p75.grf;2500;74;0.083000;6
graphs/graph_s3000_p25.grf;3000;24;0.107564;6
graphs/graph_s3000_p50.grf;3000;49;0.107722;6
graphs/graph_s3000_p75.grf;3000;74;0.103187;6
graphs/graph_s3500_p25.grf;3500;24;0.137647;6
graphs/graph_s3500_p50.grf;3500;49;0.142006;6
graphs/graph_s3500_p75.grf;3500;74;0.134931;6
graphs/graph_s4000_p25.grf;4000;24;0.168675;6
graphs/graph_s4000_p50.grf;4000;49;0.174852;6
graphs/graph_s4000_p75.grf;4000;74;0.173523;6
graphs/graph_s4500_p25.grf;4500;24;0.209420;6
graphs/graph_s4500_p50.grf;4500;49;0.207585;6
graphs/graph_s4500_p75.grf;4500;74;0.214599;6
graphs/graph_s5000_p25.grf;5000;24;0.249563;6
graphs/graph_s5000_p50.grf;5000;49;0.260097;6
graphs/graph_s5000_p75.grf;5000;74;0.255240;6
graphs/graph_s500_p25.grf;500;24;0.035017;6
graphs/graph_s500_p50.grf;500;49;0.018283;6
graphs/graph_s6000_p25.grf;6000;24;0.349994;6
graphs/graph_s6000_p50.grf;6000;49;0.349719;6
graphs/graph_s6000_p75.grf;6000;74;0.352007;6
graphs/graph_s6500_p25.grf;6500;24;0.400856;6
graphs/graph_s6500_p50.grf;6500;49;0.412136;6
graphs/graph_s6500_p75.grf;6500;74;0.410188;6
graphs/graph_s7000_p25.grf;7000;24;0.465701;6
graphs/graph_s7000_p50.grf;7000;49;0.469724;6
graphs/graph_s7000_p75.grf;7000;74;0.474898;6
graphs/graph_s7500_p25.grf;7500;24;0.510155;6
graphs/graph_s7500_p50.grf;7500;49;0.527859;6
graphs/graph_s7500_p75.grf;7500;74;0.527109;6
graphs/graph_s8000_p25.grf;8000;24;0.619901;6
graphs/graph_s8000_p50.grf;8000;49;0.599511;6
graphs/graph_s8000_p75.grf;8000;74;0.588784;6
graphs/graph_s8500_p25.grf;8500;24;0.645104;6
graphs/graph_s8500_p50.grf;8500;49;0.708944;6
graphs/graph_s8500_p75.grf;8500;74;0.652852;6
graphs/graph_s9000_p25.grf;9000;24;0.717272;6
graphs/graph_s9000_p50.grf;9000;49;0.751349;6
graphs/graph_s9000_p75.grf;9000;74;0.745340;6
graphs/graph_s9500_p25.grf;9500;24;0.815609;6
graphs/graph_s9500_p50.grf;9500;49;0.845902;6
graphs/graph_s9500_p75.grf;9500;74;0.836572;6
graphs/graph_s17000_p75.grf;17000;74;2.504507;6
graphs/graph_s18000_p25.grf;18000;24;2.808429;6
graphs/graph_s18000_p50.grf;18000;49;2.883530;6
graphs/graph_s18000_p75.grf;18000;74;2.821121;6
graphs/graph_s18500_p25.grf;18500;24;3.026260;6
graphs/graph_s18500_p50.grf;18500;49;3.107857;6
graphs/graph_s18500_p75.grf;18500;74;2.905751;6
graphs/graph_s10000_p25.grf;10000;24;0.897820;6
graphs/graph_s10000_p50.grf;10000;49;1.484290;6
graphs/graph_s20000_p25.grf;20000;24;3.911669;6
graphs/graph_s20000_p50.grf;20000;49;3.626004;6
graphs/graph_s20000_p75.grf;20000;74;3.396949;6
graphs/graph_s20500_p25.grf;20500;24;3.616335;6
graphs/graph_s20500_p50.grf;20500;49;3.688481;6
graphs/graph_s20500_p75.grf;20500;74;3.651271;6
graphs/graph_s21000_p25.grf;21000;24;3.847025;6
graphs/graph_s21000_p50.grf;21000;49;3.960016;6
graphs/graph_s21000_p75.grf;21000;74;3.836954;6
graphs/graph_s21500_p25.grf;21500;24;3.963280;6
graphs/graph_s21500_p50.grf;21500;49;3.934898;6
graphs/graph_s21500_p75.grf;21500;74;4.135822;6
graphs/graph_s22000_p25.grf;22000;24;4.162446;6
graphs/graph_s22000_p50.grf;22000;49;4.347801;6
graphs/graph_s22000_p75.grf;22000;74;4.074720;6
graphs/graph_s22500_p25.grf;22500;24;4.258966;6
graphs/graph_s22500_p50.grf;22500;49;4.489322;6
graphs/graph_s22500_p75.grf;22500;74;4.334903;6
graphs/graph_s23000_p25.grf;23000;24;4.556900;6
graphs/graph_s23000_p50.grf;23000;49;4.761843;6
graphs/graph_s23000_p75.grf;23000;74;4.618061;6
graphs/graph_s23500_p25.grf;23500;24;4.709728;6
graphs/graph_s23500_p50.grf;23500;49;4.814101;6
graphs/graph_s23500_p75.grf;23500;74;4.685883;6
graphs/graph_s24000_p25.grf;24000;24;4.955056;6
graphs/graph_s24000_p50.grf;24000;49;5.064903;6
graphs/graph_s24000_p75.grf;24000;74;4.980388;6
graphs/graph_s24500_p25.grf;24500;24;5.040511;6
graphs/graph_s24500_p50.grf;24500;49;5.262323;6
graphs/graph_s24500_p75.grf;24500;74;5.026195;6
graphs/graph_s25000_p25.grf;25000;24;5.322574;6
graphs/graph_s25000_p50.grf;25000;49;5.512243;6
graphs/graph_s25000_p75.grf;25000;74;5.493524;6
graphs/graph_s25500_p25.grf;25500;24;5.644526;6
graphs/graph_s25500_p50.grf;25500;49;5.733375;6
graphs/graph_s25500_p75.grf;25500;74;5.532794;6
graphs/graph_s26000_p25.grf;26000;24;5.795338;6
graphs/graph_s26000_p50.grf;26000;49;6.033734;6
graphs/graph_s26000_p75.grf;26000;74;5.741952;6
graphs/graph_s26500_p25.grf;26500;24;5.974252;6
graphs/graph_s26500_p50.grf;26500;49;6.127704;6
graphs/graph_s26500_p75.grf;26500;74;6.096407;6
graphs/graph_s27000_p25.grf;27000;24;6.308756;6
graphs/graph_s27000_p50.grf;27000;49;6.453569;6
graphs/graph_s27000_p75.grf;27000;74;6.176007;6
graphs/graph_s27500_p25.grf;27500;24;6.374184;6
graphs/graph_s27500_p50.grf;27500;49;6.701537;6
graphs/graph_s27500_p75.grf;27500;74;6.443215;6
graphs/graph_s28000_p25.grf;28000;24;6.774936;6
graphs/graph_s28000_p50.grf;28000;49;6.914584;6
graphs/graph_s28000_p75.grf;28000;74;6.690925;6
graphs/graph_s28500_p25.grf;28500;24;6.955349;6
graphs/graph_s28500_p50.grf;28500;49;7.179974;6
graphs/graph_s28500_p75.grf;28500;74;6.976855;6
graphs/graph_s29000_p25.grf;29000;24;7.159461;6
graphs/graph_s29000_p50.grf;29000;49;7.601746;6
graphs/graph_s29000_p75.grf;29000;74;7.162541;6
graphs/graph_s29500_p25.grf;29500;24;7.459147;6
graphs/graph_s29500_p50.grf;29500;49;7.532311;6
graphs/graph_s29500_p75.grf;29500;74;7.529468;6
graphs/graph_s30000_p25.grf;30000;24;7.824996;6
graphs/graph_s30000_p50.grf;30000;49;7.920972;6
graphs/graph_s30000_p75.grf;30000;74;7.650468;6
graphs/graph_s30500_p25.grf;30500;24;7.965956;6
graphs/graph_s30500_p50.grf;30500;49;8.197423;6
graphs/graph_s30500_p75.grf;30500;74;8.072756;6
graphs/graph_s31000_p25.grf;31000;24;8.235984;6
graphs/graph_s31000_p50.grf;31000;49;8.517339;6
graphs/graph_s31000_p75.grf;31000;74;8.164564;6
graphs/graph_s31500_p25.grf;31500;24;8.402361;6
graphs/graph_s31500_p50.grf;31500;49;8.746653;6
graphs/graph_s31500_p75.grf;31500;74;8.497649;6
graphs/graph_s32000_p25.grf;32000;24;8.757279;6
graphs/graph_s32000_p50.grf;32000;49;9.039771;6
graphs/graph_s32000_p75.grf;32000;74;8.814191;6
graphs/graph_s32500_p25.grf;32500;24;9.050185;6
graphs/graph_s32500_p50.grf;32500;49;9.364902;6
graphs/graph_s32500_p75.grf;32500;74;9.080686;6
graphs/graph_s33000_p25.grf;33000;24;9.409295;6
graphs/graph_s33000_p50.grf;33000;49;9.591340;6
graphs/graph_s33000_p75.grf;33000;74;9.311529;6
graphs/graph_s33500_p25.grf;33500;24;9.608573;6
graphs/graph_s33500_p50.grf;33500;49;9.916155;6
graphs/graph_s33500_p75.grf;33500;74;9.771966;6
graphs/graph_s34000_p25.grf;34000;24;9.976013;6
graphs/graph_s34000_p50.grf;34000;49;10.331837;6
graphs/graph_s34000_p75.grf;34000;74;9.938022;6
graphs/graph_s34500_p25.grf;34500;24;10.292496;6
graphs/graph_s34500_p50.grf;34500;49;10.668354;6
graphs/graph_s34500_p75.grf;34500;74;10.153399;6
graphs/graph_s35000_p25.grf;35000;24;10.665422;6
graphs/graph_s35000_p50.grf;35000;49;10.852484;6
graphs/graph_s35000_p75.grf;35000;74;10.667412;6
graphs/graph_s35500_p25.grf;35500;24;10.915995;6
graphs/graph_s35500_p50.grf;35500;49;11.286706;6
graphs/graph_s35500_p75.grf;35500;74;10.812116;6
graphs/graph_s36000_p25.grf;36000;24;11.339669;6
graphs/graph_s36000_p50.grf;36000;49;11.548506;6
graphs/graph_s36000_p75.grf;36000;74;11.303246;6
graphs/graph_s36500_p25.grf;36500;24;11.604157;6
graphs/graph_s36500_p50.grf;36500;49;11.944327;6
graphs/graph_s36500_p75.grf;36500;74;11.742873;6
graphs/graph_s37000_p25.grf;37000;24;11.997055;6
graphs/graph_s37000_p50.grf;37000;49;12.281265;6
graphs/graph_s37000_p75.grf;37000;74;12.060784;6
graphs/graph_s37500_p25.grf;37500;24;12.485539;6
graphs/graph_s37500_p50.grf;37500;49;12.563004;6
graphs/graph_s37500_p75.grf;37500;74;12.252576;6
graphs/graph_s38000_p25.grf;38000;24;12.818929;6
graphs/graph_s38000_p50.grf;38000;49;13.199437;6
graphs/graph_s38000_p75.grf;38000;74;12.605114;6
graphs/graph_s38500_p25.grf;38500;24;13.049874;6
graphs/graph_s38500_p50.grf;38500;49;13.514101;6
graphs/graph_s38500_p75.grf;38500;74;13.163794;6
graphs/graph_s39000_p25.grf;39000;24;13.525110;6
graphs/graph_s39000_p50.grf;39000;49;13.871336;6
graphs/graph_s39000_p75.grf;39000;74;13.666058;6
graphs/graph_s39500_p25.grf;39500;24;13.965665;6
graphs/graph_s39500_p50.grf;39500;49;14.268720;6
graphs/graph_s39500_p75.grf;39500;74;13.951001;6
graphs/graph_s10500_p75.grf;10500;74;1.016414;6
graphs/graph_s11000_p25.grf;11000;24;1.098953;6
graphs/graph_s11000_p50.grf;11000;49;1.129993;6
graphs/graph_s11000_p75.grf;11000;74;1.098881;6
graphs/graph_s11500_p25.grf;11500;24;1.182149;6
graphs/graph_s11500_p50.grf;11500;49;1.216383;6
graphs/graph_s11500_p75.grf;11500;74;1.189414;6
graphs/graph_s12000_p25.grf;12000;24;1.265408;6
graphs/graph_s12000_p50.grf;12000;49;1.313878;6
graphs/graph_s12000_p75.grf;12000;74;1.279413;6
graphs/graph_s12500_p25.grf;12500;24;1.382703;6
graphs/graph_s12500_p50.grf;12500;49;1.478956;6
graphs/graph_s12500_p75.grf;12500;74;1.443065;6
graphs/graph_s13000_p25.grf;13000;24;1.495712;6
graphs/graph_s13000_p50.grf;13000;49;1.569002;6
graphs/graph_s13000_p75.grf;13000;74;1.489307;6
graphs/graph_s13500_p25.grf;13500;24;1.646852;6
graphs/graph_s13500_p50.grf;13500;49;1.657232;6
graphs/graph_s13500_p75.grf;13500;74;1.603295;6
graphs/graph_s14000_p25.grf;14000;24;1.748349;6
graphs/graph_s14000_p50.grf;14000;49;1.794795;6
graphs/graph_s14000_p75.grf;14000;74;1.744692;6
graphs/graph_s14500_p25.grf;14500;24;1.895554;6
graphs/graph_s14500_p50.grf;14500;49;1.914904;6
graphs/graph_s14500_p75.grf;14500;74;1.858535;6
