graph_name;graph_size;graph_root;elapsed_time;implementation_type
graphs/graph_s1000_p40.grf;1000;545;0.011882;ST
graphs/graph_s1002_p40.grf;1002;864;0.011941;ST
graphs/graph_s1004_p40.grf;1004;826;0.011845;ST
graphs/graph_s1006_p40.grf;1006;413;0.013250;ST
graphs/graph_s1008_p40.grf;1008;614;0.011570;ST
graphs/graph_s100_p40.grf;100;50;0.000136;ST
graphs/graph_s1010_p40.grf;1010;408;0.021646;ST
graphs/graph_s1012_p40.grf;1012;788;0.023396;ST
graphs/graph_s1014_p40.grf;1014;729;0.011867;ST
graphs/graph_s1016_p40.grf;1016;213;0.011842;ST
graphs/graph_s1018_p40.grf;1018;239;0.011877;ST
graphs/graph_s1020_p40.grf;1020;795;0.011948;ST
graphs/graph_s1022_p40.grf;1022;848;0.011953;ST
graphs/graph_s1024_p40.grf;1024;380;0.013292;ST
graphs/graph_s1026_p40.grf;1026;398;0.012486;ST
graphs/graph_s1028_p40.grf;1028;890;0.012240;ST
graphs/graph_s102_p40.grf;102;71;0.000122;ST
graphs/graph_s1030_p40.grf;1030;815;0.016907;ST
graphs/graph_s1032_p40.grf;1032;155;0.013222;ST
graphs/graph_s1034_p40.grf;1034;958;0.013079;ST
graphs/graph_s1036_p40.grf;1036;113;0.018704;ST
graphs/graph_s1038_p40.grf;1038;707;0.012870;ST
graphs/graph_s1040_p40.grf;1040;656;0.013679;ST
graphs/graph_s1042_p40.grf;1042;983;0.014248;ST
graphs/graph_s1044_p40.grf;1044;633;0.012704;ST
graphs/graph_s1046_p40.grf;1046;633;0.012544;ST
graphs/graph_s1048_p40.grf;1048;971;0.013046;ST
graphs/graph_s104_p40.grf;104;70;0.000125;ST
graphs/graph_s1050_p40.grf;1050;586;0.012718;ST
graphs/graph_s1052_p40.grf;1052;511;0.024902;ST
graphs/graph_s1054_p40.grf;1054;734;0.012746;ST
graphs/graph_s1056_p40.grf;1056;662;0.013032;ST
graphs/graph_s1058_p40.grf;1058;866;0.013076;ST
graphs/graph_s1060_p40.grf;1060;147;0.013322;ST
graphs/graph_s1062_p40.grf;1062;621;0.021417;ST
graphs/graph_s1064_p40.grf;1064;168;0.013687;ST
graphs/graph_s1066_p40.grf;1066;912;0.013635;ST
graphs/graph_s1068_p40.grf;1068;725;0.013816;ST
graphs/graph_s106_p40.grf;106;12;0.000131;ST
graphs/graph_s1070_p40.grf;1070;670;0.013961;ST
graphs/graph_s1072_p40.grf;1072;747;0.020601;ST
graphs/graph_s1074_p40.grf;1074;956;0.041292;ST
graphs/graph_s1076_p40.grf;1076;222;0.022749;ST
graphs/graph_s1078_p40.grf;1078;693;0.040093;ST
graphs/graph_s1080_p40.grf;1080;217;0.015619;ST
graphs/graph_s1082_p40.grf;1082;950;0.014007;ST
graphs/graph_s1084_p40.grf;1084;732;0.013972;ST
graphs/graph_s1086_p40.grf;1086;642;0.037888;ST
graphs/graph_s1088_p40.grf;1088;680;0.014026;ST
graphs/graph_s108_p40.grf;108;50;0.000156;ST
graphs/graph_s1090_p40.grf;1090;846;0.018410;ST
graphs/graph_s1092_p40.grf;1092;49;0.018700;ST
graphs/graph_s1094_p40.grf;1094;469;0.018083;ST
graphs/graph_s1096_p40.grf;1096;1017;0.013846;ST
graphs/graph_s1098_p40.grf;1098;596;0.025977;ST
graphs/graph_s10_p40.grf;10;9;0.000004;ST
graphs/graph_s1100_p40.grf;1100;299;0.018361;ST
graphs/graph_s1102_p40.grf;1102;126;0.041510;ST
graphs/graph_s1104_p40.grf;1104;77;0.014036;ST
graphs/graph_s1106_p40.grf;1106;152;0.016678;ST
graphs/graph_s1108_p40.grf;1108;351;0.016768;ST
graphs/graph_s110_p40.grf;110;105;0.000146;ST
graphs/graph_s1110_p40.grf;1110;674;0.014360;ST
graphs/graph_s1112_p40.grf;1112;10;0.013843;ST
graphs/graph_s1114_p40.grf;1114;579;0.013777;ST
graphs/graph_s1116_p40.grf;1116;260;0.014069;ST
graphs/graph_s1118_p40.grf;1118;399;0.030863;ST
graphs/graph_s1120_p40.grf;1120;51;0.017993;ST
graphs/graph_s1122_p40.grf;1122;307;0.017570;ST
graphs/graph_s1124_p40.grf;1124;20;0.014229;ST
graphs/graph_s1126_p40.grf;1126;285;0.014726;ST
graphs/graph_s1128_p40.grf;1128;1078;0.014301;ST
graphs/graph_s112_p40.grf;112;60;0.000142;ST
graphs/graph_s1130_p40.grf;1130;117;0.014870;ST
graphs/graph_s1132_p40.grf;1132;759;0.014633;ST
